01 02 03 04 05 06
04 05 06 07 08 09
01 02 03 04 05 07
01 02 03 04 05 08
01 02 06 07 08 09
01 03 06 07 08 09
02 03 06 07 08 09
01 02 03 04 05 10
05 06 07 08 09 10
01 02 03 04 06 10
01 02 03 05 06 10
01 02 07 08 09 10
01 03 07 08 09 10
02 03 07 08 09 10
04 05 06 07 08 10
04 05 06 07 09 10
04 05 06 08 09 10
01 02 03 04 05 11
05 06 07 08 09 11
01 02 03 04 06 11
01 02 03 05 06 11
01 02 07 08 09 11
01 03 07 08 09 11
02 03 07 08 09 11
04 05 06 07 08 11
04 05 06 07 09 11
04 05 06 08 09 11
01 02 03 04 10 11
06 07 08 09 10 11
01 02 03 05 10 11
01 02 03 06 10 11
01 07 08 09 10 11
02 07 08 09 10 11
03 07 08 09 10 11
04 05 06 07 10 11
04 05 06 08 10 11
04 05 06 09 10 11
01 02 03 04 05 12
05 06 07 08 09 12
01 02 03 04 06 12
01 02 03 05 06 12
01 02 07 08 09 12
01 03 07 08 09 12
02 03 07 08 09 12
04 05 06 07 08 12
04 05 06 07 09 12
04 05 06 08 09 12
01 02 03 04 10 12
06 07 08 09 10 12
01 02 03 05 10 12
01 02 03 06 10 12
01 07 08 09 10 12
02 07 08 09 10 12
03 07 08 09 10 12
04 05 06 07 10 12
04 05 06 08 10 12
04 05 06 09 10 12
01 02 03 04 11 12
06 07 08 09 11 12
01 02 03 05 11 12
01 02 03 06 11 12
01 07 08 09 11 12
02 07 08 09 11 12
03 07 08 09 11 12
04 05 06 07 11 12
04 05 06 08 11 12
04 05 06 09 11 12
01 02 03 10 11 12
01 02 04 10 11 12
01 02 05 10 11 12
01 06 07 10 11 12
03 04 05 10 11 12
06 08 09 10 11 12
07 08 09 10 11 12
01 02 03 04 05 13
05 06 07 08 09 13
01 02 03 04 06 13
01 02 03 05 06 13
01 02 07 08 09 13
01 03 07 08 09 13
02 03 07 08 09 13
04 05 06 07 08 13
04 05 06 07 09 13
04 05 06 08 09 13
01 02 03 04 10 13
06 07 08 09 10 13
01 02 03 05 10 13
01 02 03 06 10 13
01 07 08 09 10 13
02 07 08 09 10 13
03 07 08 09 10 13
04 05 06 07 10 13
04 05 06 08 10 13
04 05 06 09 10 13
01 02 03 04 11 13
06 07 08 09 11 13
01 02 03 05 11 13
01 02 03 06 11 13
01 07 08 09 11 13
02 07 08 09 11 13
03 07 08 09 11 13
04 05 06 07 11 13
04 05 06 08 11 13
04 05 06 09 11 13
01 02 03 10 11 13
01 02 04 10 11 13
01 02 05 10 11 13
01 06 07 10 11 13
03 04 05 10 11 13
06 08 09 10 11 13
07 08 09 10 11 13
01 02 03 04 12 13
06 07 08 09 12 13
01 02 03 05 12 13
01 02 03 06 12 13
01 07 08 09 12 13
02 07 08 09 12 13
03 07 08 09 12 13
04 05 06 07 12 13
04 05 06 08 12 13
04 05 06 09 12 13
01 02 03 10 12 13
01 02 04 10 12 13
01 02 05 10 12 13
01 06 07 10 12 13
03 04 05 10 12 13
06 08 09 10 12 13
07 08 09 10 12 13
01 02 03 11 12 13
08 09 10 11 12 13
01 02 04 11 12 13
01 02 05 11 12 13
03 04 05 11 12 13
06 07 08 11 12 13
06 07 09 11 12 13
06 07 10 11 12 13
