01 02 03 04
06 07 08 09
01 02 03 05
01 02 03 06
01 07 08 09
02 07 08 09
03 07 08 09
04 05 06 07
04 05 06 08
04 05 06 09
01 02 03 10
01 02 04 10
01 02 05 10
01 06 07 10
03 04 05 10
06 08 09 10
07 08 09 10
01 02 03 11
08 09 10 11
01 02 04 11
01 02 05 11
03 04 05 11
06 07 08 11
06 07 09 11
06 07 10 11
01 02 03 12
08 09 10 12
01 02 04 12
01 02 05 12
03 04 05 12
06 07 08 12
06 07 09 12
06 07 10 12
01 02 11 12
03 04 11 12
05 06 11 12
07 08 11 12
09 10 11 12
01 02 03 13
08 09 10 13
01 02 04 13
01 02 05 13
03 04 05 13
06 07 08 13
06 07 09 13
06 07 10 13
01 02 11 13
03 04 11 13
05 06 11 13
07 08 11 13
09 10 11 13
01 02 12 13
03 04 12 13
05 06 12 13
07 08 12 13
09 10 12 13
01 11 12 13
01 02 03 14
08 09 10 14
01 02 04 14
01 02 05 14
03 04 05 14
06 07 08 14
06 07 09 14
06 07 10 14
01 02 11 14
03 04 11 14
05 06 11 14
07 08 11 14
09 10 11 14
01 02 12 14
03 04 12 14
05 06 12 14
07 08 12 14
09 10 12 14
01 11 12 14
01 02 13 14
03 04 13 14
05 06 13 14
07 08 13 14
09 10 13 14
11 12 13 14
