01 02 03 04 05
01 02 03 06 08
01 02 03 09 10
01 02 03 11 12
01 02 03 11 13
01 02 03 11 14
01 02 03 11 15
01 02 03 11 16
01 02 03 11 17
01 02 03 12 13
01 02 03 12 14
01 02 03 12 15
01 02 03 12 16
01 02 03 12 17
01 02 03 13 14
01 02 03 13 15
01 02 03 13 16
01 02 03 13 17
01 02 03 14 15
01 02 03 14 16
01 02 03 14 17
01 02 03 15 16
01 02 03 15 17
01 02 03 16 17
01 02 04 06 10
01 02 04 08 09
01 02 04 11 12
01 02 04 11 13
01 02 04 11 14
01 02 04 11 15
01 02 04 11 16
01 02 04 11 17
01 02 04 12 13
01 02 04 12 14
01 02 04 12 15
01 02 04 12 16
01 02 04 12 17
01 02 04 14 15
01 02 04 14 16
01 02 04 14 17
01 02 05 06 09
01 02 05 08 10
01 02 05 10 11
01 02 05 10 12
01 02 05 10 13
01 02 05 10 14
01 02 05 10 15
01 02 05 10 16
01 02 05 10 17
01 02 05 11 12
01 02 05 11 13
01 02 05 11 14
01 02 05 11 15
01 02 05 11 16
01 02 05 11 17
01 02 05 12 13
01 02 05 12 14
01 02 05 12 15
01 02 05 12 16
01 02 05 12 17
01 02 05 14 15
01 02 05 14 16
01 02 05 14 17
01 02 06 07 11
01 02 06 07 12
01 02 06 07 13
01 02 06 07 14
01 02 06 07 15
01 02 06 07 16
01 02 06 07 17
01 02 06 14 15
01 02 06 14 16
01 02 06 14 17
01 02 15 16 17
01 03 04 06 08
01 03 04 06 11
01 03 04 06 12
01 03 04 06 13
01 03 04 06 14
01 03 04 06 15
01 03 04 06 16
01 03 04 06 17
01 03 07 13 14
01 03 07 13 15
01 03 07 13 16
01 03 07 13 17
01 03 08 13 14
01 03 08 13 15
01 03 08 13 16
01 03 08 13 17
01 04 05 07 11
01 04 05 07 12
01 04 05 07 13
01 04 05 07 14
01 04 05 07 15
01 04 05 07 16
01 04 05 07 17
01 04 05 09 11
01 04 05 09 12
01 04 05 09 13
01 04 05 09 14
01 04 05 09 15
01 04 05 09 16
01 04 05 09 17
01 04 06 15 16
01 04 06 15 17
01 04 06 16 17
01 05 08 15 16
01 05 08 15 17
01 05 08 16 17
01 07 10 15 16
01 07 10 15 17
01 07 10 16 17
01 08 09 10 11
01 08 09 10 12
01 08 09 10 13
01 08 09 10 14
01 08 09 10 15
01 08 09 10 16
01 08 09 10 17
01 09 11 15 16
01 09 11 15 17
01 09 11 16 17
01 12 13 15 16
01 12 13 15 17
01 12 13 16 17
02 03 04 08 11
02 03 04 08 12
02 03 04 08 13
02 03 04 08 14
02 03 04 08 15
02 03 04 08 16
02 03 04 08 17
02 03 06 09 11
02 03 06 09 12
02 03 06 09 13
02 03 06 09 14
02 03 06 09 15
02 03 06 09 16
02 03 06 09 17
02 04 05 15 16
02 04 05 15 17
02 04 05 16 17
02 04 07 09 11
02 04 07 09 12
02 04 07 09 13
02 04 07 09 14
02 04 07 09 15
02 04 07 09 16
02 04 07 09 17
02 06 07 15 16
02 06 07 15 17
02 06 07 16 17
02 07 08 13 14
02 07 08 13 15
02 07 08 13 16
02 07 08 13 17
02 08 09 15 16
02 08 09 15 17
02 08 09 16 17
02 10 11 15 16
02 10 11 15 17
02 10 11 16 17
02 12 14 15 16
02 12 14 15 17
02 12 14 16 17
03 04 05 11 12
03 04 05 11 13
03 04 05 11 14
03 04 05 11 15
03 04 05 11 16
03 04 05 11 17
03 04 05 12 13
03 04 05 12 14
03 04 05 12 15
03 04 05 12 16
03 04 05 12 17
03 04 05 14 15
03 04 05 14 16
03 04 05 14 17
03 04 06 07 09
03 04 07 08 10
03 04 07 15 16
03 04 07 15 17
03 04 07 16 17
03 04 15 16 17
03 05 06 07 10
03 05 06 14 15
03 05 06 14 16
03 05 06 14 17
03 05 06 15 16
03 05 06 15 17
03 05 06 16 17
